Name,NickName,Age,Birthday,Gender,Height,Weight,Weight_class,Url,RecordDraws,RecordLosses,RecordNoContests,RecordWins,WeightClassAbbreviation,WeightClassId,Stance
An Tuan Ho,Highlight,24,9/27/2000,Male,66,125,Flyweight,http://www.ufc.com/athlete/an-tuan-ho,0,1,0,6,FLW,8,Switch
Dominik Humburger,N/A,29,1/3/1996,Male,N/A,185,Middleweight,http://www.ufc.com/athlete/dominik-humburger,0,1,0,8,MW,3,N/A
Lone'er Kavanagh,N/A,25,6/9/1999,Male,64,125,Flyweight,http://www.ufc.com/athlete/lone’er-kavanagh,0,0,0,8,FLW,8,Orthodox
Andrey Pulyaev,N/A,27,9/10/1997,Male,76,185,Middleweight,http://www.ufc.com/athlete/andrey-pulyaev,0,2,0,9,MW,3,Southpaw
Djorden Santos,Shakur,27,8/1/1997,Male,72,185,Middleweight,http://www.ufc.com/athlete/djorden-santos,0,1,0,10,MW,3,Orthodox
Mikheil Sazhiniani,Spartan,28,10/5/1996,Male,72,205,Light Heavyweight,http://www.ufc.com/athlete/mikheil-sazhiniani,0,3,0,13,LHW,2,Orthodox
Wes Schultz,Party Time,28,8/9/1996,Male,74,185,Middleweight,http://www.ufc.com/athlete/wes-schultz,0,2,0,6,MW,3,Orthodox
Will Currie,Drago,26,11/12/1998,Male,75,185,Middleweight,http://www.ufc.com/athlete/william-currie,0,4,0,12,MW,3,Switch
Alice Ardelean,N/A,32,4/19/1992,Female,63,115,Womens Strawweight,http://www.ufc.com/athlete/alice-ardelean,0,7,0,9,WSW,32,Orthodox
Michael Aswell,The Texas Kid,24,9/27/2000,Male,68,145,Featherweight,http://www.ufc.com/athlete/michael-aswell,0,2,0,9,FTW,6,Orthodox
Austin Bashi,N/A,23,9/29/2001,Male,66,145,Featherweight,http://www.ufc.com/athlete/austin-bashi,0,1,0,13,FTW,6,Orthodox
Adam Bramhald,Samurai,30,3/24/1994,Male,70,135,Bantamweight,http://www.ufc.com/athlete/adam-bramhald,0,3,0,13,BW,7,Orthodox
Billy Brand,Songthak,28,7/3/1996,Male,66,135,Bantamweight,http://www.ufc.com/athlete/billy-brand,0,2,0,5,BW,7,Orthodox
Icaro Brito,N/A,25,3/9/1999,Male,N/A,145,Featherweight,http://www.ufc.com/athlete/icaro-brito,0,1,0,7,FTW,6,N/A
Nicolle Caliari,N/A,28,11/4/1996,Female,63,125,Womens Flyweight,http://www.ufc.com/athlete/nicolle-caliari,0,3,0,8,WFLW,35,Orthodox
Rafael Cerqueira,The Lion,34,3/15/1990,Male,75,205,Light Heavyweight,http://www.ufc.com/athlete/rafael-cerqueira,0,1,0,11,LHW,2,Southpaw
Rose Conceicao,N/A,27,5/13/1997,Female,55,115,Womens Strawweight,http://www.ufc.com/athlete/rose-conceicao,0,1,0,7,WSW,32,Orthodox
Anvarbek Daniyalbekov,N/A,29,5/27/1995,Male,N/A,185,Middleweight,http://www.ufc.com/athlete/anvarbek-daniyalbekov,0,0,0,8,MW,3,N/A
Islam Dulatov,The Ripper,26,8/2/1998,Male,75,170,Welterweight,http://www.ufc.com/athlete/islam-dulatov,0,1,0,11,WW,4,Orthodox
Andreas Gustafsson,Bane,33,2/20/1991,Male,73,170,Welterweight,http://www.ufc.com/athlete/andreas-gustafsson,0,2,0,11,WW,4,Orthodox
Michael Imperato,N/A,35,9/1/1989,Male,67,135,Bantamweight,http://www.ufc.com/athlete/michael-imperato,0,7,0,12,BW,7,Switch
Ernie Juarez,The Young Titan,27,1/12/1998,Male,68,145,Featherweight,http://www.ufc.com/athlete/ernie-juarez,0,1,0,8,FTW,6,N/A
Arthur Lopes,Demolidor,31,2/17/1993,Male,74,234,Heavyweight,http://www.ufc.com/athlete/arthur-lopes,0,2,0,6,HW,1,Southpaw
Tommy McMillen,Gun,27,12/15/1997,Male,N/A,145,Featherweight,http://www.ufc.com/athlete/tommy-mcmillen,0,0,0,6,FTW,6,N/A
Ding Meng,The Assassin,30,9/27/1994,Male,74,170,Welterweight,http://www.ufc.com/athlete/ding-meng,0,9,0,34,WW,4,Orthodox
Uran Satybaldiev,Gorilla,N/A,N/A,Male,N/A,205,Light Heavyweight,http://www.ufc.com/athlete/uran-satybaldiev,0,1,0,7,LHW,2,N/A
Josias Musasa,The KO Wizard,26,10/10/1998,Male,68,135,Bantamweight,http://www.ufc.com/athlete/josias-musasa,0,0,0,7,BW,7,Southpaw
Pat Pytlik,N/A,35,4/24/1989,Male,72,170,Welterweight,http://www.ufc.com/athlete/pat-pytlik,0,2,0,9,WW,4,Orthodox
Louis Lee Scott,Lightning,24,2/26/2000,N/A,N/A,135,N/A,http://www.ufc.com/athlete/louis-lee-scott,0,0,0,8,N/A,N/A,N/A
Otari Tanzilovi,N/A,26,4/9/1998,Male,70,135,Bantamweight,http://www.ufc.com/athlete/otari-tanzilovi,0,1,0,9,BW,7,Orthodox
Tallison Teixeira,Xicao,25,12/7/1999,Male,79,258,Heavyweight,http://www.ufc.com/athlete/tallison-teixeira,0,0,0,7,HW,1,Orthodox
Malcolm Wellmaker,The Machine,30,6/4/1994,Male,70,135,Bantamweight,http://www.ufc.com/athlete/malcolm-wellmaker,0,0,0,8,BW,7,Switch
Gauge Young,Gee Money,24,7/14/2000,Male,69,155,Lightweight,http://www.ufc.com/athlete/gauge-young,0,2,0,8,LW,5,Orthodox
Joilton Lutterbach,Peregrino,32,11/5/1992,Male,73,185,Middleweight,http://www.ufc.com/athlete/joilton-santos-lutterbach,0,9,1,38,MW,3,Orthodox
Jose Ochoa,Kalzifer,24,12/31/2000,Male,67,125,Flyweight,http://www.ufc.com/athlete/jose-ochoa,0,1,1,7,FLW,8,Southpaw
Igor Cavalcanti,Jacare,27,10/10/1997,Male,71,170,Welterweight,http://www.ufc.com/athlete/igor-cavalcanti,0,1,0,9,WW,4,Orthodox
Aleksandre Topuria,El Cazador,29,1/28/1996,Male,N/A,135,Bantamweight,http://www.ufc.com/athlete/aleksandre-topuria,0,1,0,5,BW,7,N/A
Quemuel Ottoni,N/A,32,10/22/1992,Male,72,155,Lightweight,http://www.ufc.com/athlete/quemuel-ottoni,0,3,0,12,LW,5,Orthodox
Kody Steele,N/A,29,4/21/1995,Male,69,155,Lightweight,http://www.ufc.com/athlete/kody-steele,0,0,0,7,LW,5,Orthodox
Cody Haddon,N/A,26,9/8/1998,Male,67,135,Bantamweight,http://www.ufc.com/athlete/cody-haddon,0,1,0,8,BW,7,Orthodox
Seokhyeon Ko,The Korean Tyson,31,9/24/1993,Male,70,170,Welterweight,http://www.ufc.com/athlete/seokhyeon-ko,0,2,0,11,WW,4,Southpaw
Felipe Lima,Jungle Boy,26,5/7/1998,Male,66,145,Featherweight,http://www.ufc.com/athlete/felipe-lima,0,1,0,14,FTW,6,Orthodox
Kevin Christian,N/A,30,1/21/1995,Male,79,205,Light Heavyweight,http://www.ufc.com/athlete/kevin-christian,0,2,0,9,LHW,2,Orthodox
Fatima Kline,The Archangel,24,7/12/2000,Female,66,115,Womens Strawweight,http://www.ufc.com/athlete/fatima-kline,0,1,0,7,WFLW,32,Orthodox
Diyar Nurgozhay,N/A,27,4/22/1997,Male,74,205,Light Heavyweight,http://www.ufc.com/athlete/diyar-nurgozhay,0,0,0,10,LHW,2,Southpaw
Bailey Schoenfelder,Berserk,27,9/22/1997,Male,75,265,Heavyweight,http://www.ufc.com/athlete/bailey-schoenfelder,0,1,0,5,HW,1,Orthodox
Heraldo Souza,Savage,30,12/15/1994,Male,71,185,Middleweight,http://www.ufc.com/athlete/heraldo-souza,1,2,0,9,MW,3,Orthodox
Navajo Stirling,N/A,27,11/7/1997,Male,76,205,Light Heavyweight,http://www.ufc.com/athlete/navajo-stirling,0,0,0,6,LHW,2,Orthodox
Bartosz Szewczyk,N/A,27,9/18/1997,Male,76,205,Light Heavyweight,http://www.ufc.com/athlete/bartosz-szewczyk,1,3,0,8,LHW,2,Orthodox
Alexia Thainara,Burguesinha,29,11/20/1995,Female,64,115,Womens Strawweight,http://www.ufc.com/athlete/alexia-thainara,0,1,0,11,WSW,32,N/A
Alain Van der Merckt,Top Boy,31,6/11/1993,N/A,N/A,185,N/A,http://www.ufc.com/athlete/alain-van-de-merckt,0,0,0,8,N/A,N/A,N/A
Danylo Voievodkin,N/A,24,7/19/2000,Male,76,265,Heavyweight,http://www.ufc.com/athlete/danylo-voievodkin,0,0,0,7,HW,1,Southpaw
Anthony Drilich,N/A,30,3/17/1994,Male,65,125,Flyweight,http://www.ufc.com/athlete/anthony-drilich,0,2,0,8,FLW,8,Southpaw
Danni McCormack,Mac,34,3/15/1990,Female,64,125,Womens Flyweight,http://www.ufc.com/athlete/danni-mccormack,0,2,0,9,WFLW,35,Southpaw
Lucas Camacho,Lucao,32,12/15/1992,Male,76,265,Heavyweight,http://www.ufc.com/athlete/lucas-camacho,0,1,0,6,HW,1,Orthodox
Sean Gauci,N/A,28,10/7/1996,Male,65,125,Flyweight,http://www.ufc.com/athlete/sean-gauci,0,1,0,10,FLW,8,Switch
Patryk Grabowski,Czapla,29,11/12/1995,N/A,N/A,205,N/A,http://www.ufc.com/athlete/patryk-grabowski,0,1,0,5,N/A,N/A,N/A
Islem Masraf,Lightning,28,6/7/1996,Male,72,205,Light Heavyweight,http://www.ufc.com/athlete/islem-masraf,0,1,0,3,LHW,2,Southpaw
Stewart Nicoll,Kakamora,30,11/4/1994,Male,65,125,Flyweight,http://www.ufc.com/athlete/stewart-nicoll,0,1,0,8,FLW,8,Orthodox
Mario Pinto,N/A,26,3/14/1998,Male,77,265,Heavyweight,http://www.ufc.com/athlete/mario-pinto,0,0,0,9,HW,1,Orthodox
Artem Vakhitov,N/A,33,4/4/1991,Male,73,205,Light Heavyweight,http://www.ufc.com/athlete/artem-vakhitov,0,1,0,3,LHW,2,Orthodox
Kai Asakura,N/A,31,10/31/1993,Male,68,125,Flyweight,http://www.ufc.com/athlete/kai-asakura,0,5,0,21,FLW,8,Orthodox
Benjamin Bennett,Mr. Alaska,30,5/8/1994,Male,72,170,Welterweight,http://www.ufc.com/athlete/benjamin-bennett,0,1,0,7,WW,4,Switch
Ivan Erslan,N/A,33,11/15/1991,Male,74,205,Light Heavyweight,http://www.ufc.com/athlete/ivan-erslan,0,4,1,14,LHW,2,Orthodox
Daniel Frunza,Tigano,30,4/13/1994,Male,73,170,Welterweight,http://www.ufc.com/athlete/daniel-frunza,0,2,0,9,WW,4,Orthodox
Ateba Gautier,The Silent Assassin,22,4/10/2002,Male,76,185,Middleweight,http://www.ufc.com/athlete/ateba-gautier,0,1,0,6,MW,3,Switch
Joey Hart,The Hitman,27,6/24/1997,Male,75,170,Welterweight,http://www.ufc.com/athlete/joey-hart,0,2,0,6,WW,4,Orthodox
Saygid Izagakhmaev,N/A,30,9/3/1994,N/A,N/A,170,N/A,http://www.ufc.com/athlete/saygid-izagakhmaev,0,2,0,22,N/A,N/A,N/A
Vadym Kutsyi,N/A,33,7/18/1991,Male,72,170,Welterweight,http://www.ufc.com/athlete/vadim-kutsyi,0,2,0,17,WW,4,Orthodox
Yura Naito,2 FACE,28,4/26/1996,Male,72,185,Middleweight,http://www.ufc.com/athlete/yura-naito,0,1,0,6,MW,3,Orthodox
Luke Riley,N/A,25,6/30/1999,N/A,N/A,145,N/A,http://www.ufc.com/athlete/luke-riley,0,0,0,9,N/A,N/A,N/A
Aaron Tau,Tauzemup,31,8/21/1993,Male,64,135,Bantamweight,http://www.ufc.com/athlete/aaron-tau,0,1,0,8,BW,7,Switch
Jordan Vucenic,The Epidemic,28,3/2/1996,Male,70,155,Lightweight,http://www.ufc.com/athlete/jordan-vucenic,0,3,0,13,LW,5,Orthodox
Abdellah Er-Ramy,The Golden Boy,28,9/19/1996,Male,72,185,Middleweight,http://www.ufc.com/athlete/abdellah-er-ramy-er-ramy,0,2,0,7,MW,3,Orthodox
Francesco Mazzeo,N/A,27,9/23/1997,Male,75,205,Light Heavyweight,http://www.ufc.com/athlete/francesco-mazzeo,0,1,0,4,LHW,2,Orthodox
Logan Woods,One Hit,30,5/30/1994,N/A,N/A,185,N/A,http://www.ufc.com/athlete/logan-woods,0,1,0,5,N/A,N/A,N/A
Jose Delgado,N/A,26,4/21/1998,Male,71,145,Featherweight,http://www.ufc.com/athlete/jose-delgado,0,1,0,8,FTW,6,Switch
Ryan Loder,Man of Steel,33,6/5/1991,Male,74,185,Middleweight,http://www.ufc.com/athlete/ryan-loder,0,1,0,8,MW,3,Southpaw
Kaan Ofli,Genghis,31,6/19/1993,Male,67,145,Featherweight,http://www.ufc.com/athlete/kaan-ofli,1,3,0,12,FTW,6,Orthodox
Jonathan Piersma,Warhawk,28,3/3/1996,Male,71,170,Welterweight,http://www.ufc.com/athlete/jonathan-piersma,0,3,1,9,WW,4,Orthodox
Nathan Fletcher,N/A,27,1/3/1998,Male,67,135,Bantamweight,http://www.ufc.com/athlete/nathan-fletcher,0,1,0,9,FTW,7,Orthodox
Leslie Hernandez,Dora The Destroyer,27,12/29/1997,Female,63,115,Womens Strawweight,http://www.ufc.com/athlete/leslie-hernandez,0,2,0,4,WSW,32,Orthodox
Taiga Iwasaki,N/A,27,7/7/1997,Male,73,185,Middleweight,http://www.ufc.com/athlete/taiga-iwasaki,0,2,0,9,MW,3,Orthodox
Phillip Latu,The Doctor,33,2/17/1991,Male,75,205,Light Heavyweight,http://www.ufc.com/athlete/phil-latu,0,2,0,6,LHW,2,Orthodox
Julieta Martinez,The Ninja Ferret,20,9/14/2004,Female,61,115,Womens Strawweight,http://www.ufc.com/athlete/julieta-martinez,0,0,0,8,WSW,32,Orthodox
Nick Piccininni,N/A,28,12/16/1996,Male,66,125,Flyweight,http://www.ufc.com/athlete/nick-piccininni,0,1,0,7,FLW,8,Orthodox
Zygimantas Ramaska,N/A,28,12/27/1996,Male,71,145,Featherweight,http://www.ufc.com/athlete/zygimantas-ramaska,0,3,0,9,FTW,6,Orthodox
Ramazan Temirov,Temurlan,28,1/31/1997,Male,64,125,Flyweight,http://www.ufc.com/athlete/ramazan-temirov,0,2,0,18,FLW,8,Orthodox
Robert Valentin,Robzilla,29,3/31/1995,Male,74,185,Middleweight,http://www.ufc.com/athlete/robert-valentin,0,4,1,11,MW,3,Orthodox
Mairon Santos,The Legend,24,6/10/2000,Male,67,145,Featherweight,http://www.ufc.com/athlete/mairon-santos-alves,0,1,0,15,FTW,6,Orthodox
Elijah Smith,Swift,22,9/5/2002,Male,69,135,Bantamweight,http://www.ufc.com/athlete/elijah-smith,0,1,0,7,BW,7,Orthodox
Cam Teague,Chaos,26,2/13/1998,Male,70,145,Featherweight,http://www.ufc.com/athlete/cam-teague,0,1,0,7,FTW,6,Orthodox
Dorian Ramos,N/A,31,12/31/1993,Male,68,145,Featherweight,http://www.ufc.com/athlete/dorian-ramos,0,3,0,8,FTW,6,Orthodox
Christien Savoie,The Tiger,32,8/29/1992,Male,71,170,Welterweight,http://www.ufc.com/athlete/christien-savoie,1,2,0,10,WW,4,Orthodox
Jacobe Smith,Cobe,29,1/17/1996,Male,70,170,Welterweight,http://www.ufc.com/athlete/jacobe-smith,0,0,0,10,WW,4,Southpaw
Mohamed Ado,N/A,24,5/3/2000,Male,71,170,Welterweight,http://www.ufc.com/athlete/mohamed-ado,0,1,0,5,WW,4,Switch
Vanilto Antunes,N/A,30,12/28/1994,Male,72,170,Welterweight,http://www.ufc.com/athlete/vanilto-antunes,0,7,0,16,WW,4,Orthodox
Yadier DelValle,The Cuban Problem,28,7/29/1996,Male,69,145,Featherweight,http://www.ufc.com/athlete/yadier-del-valle,0,0,0,8,FTW,6,Southpaw
Xavier Franklin,Mr. Benjamin,28,10/15/1996,Male,66,135,Bantamweight,http://www.ufc.com/athlete/xavier-franklin,0,1,1,5,BW,7,Southpaw
David Martinez,Black Spartan,26,8/3/1998,Male,66,135,Bantamweight,http://www.ufc.com/athlete/david-martinez,0,1,0,11,BW,7,Orthodox
Jonathan Micallef,The Captain,25,3/5/1999,Male,72,170,Welterweight,http://www.ufc.com/athlete/jonathan-micallef,0,1,0,7,WW,4,Southpaw
Antonio Monteiro,Junior Negao,29,7/2/1995,Male,67,145,Featherweight,http://www.ufc.com/athlete/antonio-monteiro-monteiro,1,5,1,17,FTW,6,Orthodox
Reinier de Ridder,RdR,34,9/7/1990,Male,76,185,Middleweight,http://www.ufc.com/athlete/reinier-de-ridder,0,2,0,19,MW,3,Southpaw
Chasen Blair,Mestizo,26,10/14/1998,Male,70,155,Lightweight,http://www.ufc.com/athlete/chasen-blair,0,3,0,6,LW,5,Orthodox
Carlos Calderon,Chief,28,2/10/1996,Male,71,145,Featherweight,http://www.ufc.com/athlete/carlos-calderon,0,3,1,6,FTW,6,Southpaw
Luis Gurule,Grim,31,11/16/1993,Male,65,125,Flyweight,http://www.ufc.com/athlete/luis-gurule,0,0,0,10,FLW,8,Orthodox
Nick Klein,Blue Collar,29,9/8/1995,Male,73,185,Middleweight,http://www.ufc.com/athlete/nick-klein,0,1,0,6,MW,3,Orthodox
Sean Sharaf,The Smoke,31,7/11/1993,Male,75,252,Heavyweight,http://www.ufc.com/athlete/sean-sharaf,0,1,0,4,HW,1,Orthodox
Klaudia Sygula,N/A,26,12/30/1998,Female,68,135,Womens Bantamweight,http://www.ufc.com/athlete/klaudia-syguła,0,2,0,6,WBW,25,Orthodox
Carlos Leal,The Lion,30,5/4/1994,Male,71,170,Welterweight,http://www.ufc.com/athlete/carlos-leal,0,6,0,21,WW,4,Orthodox
Zachary Scroggin,N/A,28,3/9/1996,Male,75,170,Welterweight,http://www.ufc.com/athlete/zach-scroggin,0,1,0,7,WW,4,Orthodox
Roberto Romero,El Charro Negro,25,1/30/2000,Male,68,155,Lightweight,http://www.ufc.com/athlete/roberto-romero,1,4,0,8,LW,5,Orthodox
Kennedy Freeman,The Machine 2.0,28,11/26/1996,N/A,N/A,135,N/A,http://www.ufc.com/athlete/kennedy-freeman,0,0,0,6,N/A,N/A,N/A
Alice Pereira,Golden Girl,19,12/20/2005,N/A,N/A,135,N/A,http://www.ufc.com/athlete/alice-pereira,0,0,0,6,N/A,N/A,N/A
Azamat Bekoev,Iron,29,12/30/1995,Male,72,185,Middleweight,http://www.ufc.com/athlete/azamat-bekoev,0,3,0,19,MW,3,Orthodox
Billy Elekana,Son of Susie,29,5/28/1995,Male,75,205,Light Heavyweight,http://www.ufc.com/athlete/billy-elekana,0,2,0,7,LHW,2,Southpaw
Matheus Camilo,Jaguar,24,1/2/2001,N/A,N/A,155,N/A,http://www.ufc.com/athlete/matheus-camilo,0,2,0,9,N/A,N/A,N/A
Colby Thicknesse,Slickness,25,6/23/1999,N/A,N/A,135,Bantamweight,http://www.ufc.com/athlete/colby-thicknesse,0,0,0,7,BW,7,N/A
Joo Sang Yoo,N/A,31,1/21/1994,N/A,N/A,145,N/A,http://www.ufc.com/athlete/joo-sang-yoo,0,0,0,8,N/A,N/A,N/A
Nick Agallar,N/A,46,1/13/1979,Male,68,155,Lightweight,http://www.ufc.com/athlete/nick-agallar,0,6,0,24,LW,5,Orthodox
Marcelo Aguiar,N/A,N/A,N/A,Male,70,170,Welterweight,http://www.ufc.com/athlete/marcello-aguiar,1,3,0,2,WW,4,Orthodox
Danny Abbadi,The Assassin,41,7/3/1983,Male,71,155,Lightweight,http://www.ufc.com/athlete/danny-abbadi,0,6,0,4,LW,5,Orthodox
Zarrukh Adashev,The Lion,32,7/29/1992,Male,65,125,Flyweight,http://www.ufc.com/athlete/zarrukh-adashev,0,4,0,4,FLW,8,Southpaw
Papy Abedi,Makambo,46,6/30/1978,Male,71,185,Middleweight,http://www.ufc.com/athlete/papy-abedi,0,4,0,10,MW,3,Southpaw
Israel Adesanya,The Last Stylebender,35,7/22/1989,Male,76,185,Middleweight,http://www.ufc.com/athlete/israel-adesanya,0,4,0,24,MW,3,Switch
Klidson Abreu,White Bear,32,12/24/1992,Male,72,205,Light Heavyweight,http://www.ufc.com/athlete/klidson-abreu,0,4,1,15,LHW,2,Orthodox
Shamil Abdurakhimov,Abrek,43,9/2/1981,Male,75,235,Heavyweight,http://www.ufc.com/athlete/shamil-abdurakhimov,0,8,0,20,HW,1,Orthodox
Christian Aguilera,The Beast,33,11/25/1991,Male,69,170,Welterweight,http://www.ufc.com/athlete/christian-aguilera,0,8,0,14,WW,4,Switch
Iuri Alcantara,Marajo,44,8/4/1980,Male,69,135,Bantamweight,http://www.ufc.com/athlete/iuri-alcantara,0,10,1,35,BW,7,Southpaw
Razak Al-Hassan,N/A,42,5/14/1982,Male,74,205,Light Heavyweight,http://www.ufc.com/athlete/razak-al-hassan,0,5,0,13,LHW,2,Orthodox
Ildemar Alcantara,Marajo,42,11/18/1982,Male,74,185,Middleweight,http://www.ufc.com/athlete/ildemar-alcantara,0,11,0,21,MW,3,Orthodox
Wes Albritton,N/A,N/A,N/A,Male,70,188,Lightweight,http://www.ufc.com/athlete/wes-albritton,0,1,0,0,LW,5,Orthodox
Herdem Alacabek,N/A,33,6/7/1991,Male,74,205,Light Heavyweight,http://www.ufc.com/athlete/herdem-alacabek,0,1,0,5,LHW,2,Orthodox
Junior Albini,Baby,33,3/15/1991,Male,75,264,Heavyweight,http://www.ufc.com/athlete/junior-albini,0,6,0,14,HW,1,Orthodox
Amir Aliakbari,N/A,40,6/10/1984,Male,75,250,Heavyweight,http://www.ufc.com/athlete/amir-aliakbari,0,1,0,10,HW,1,N/A
Sultan Aliev,N/A,40,9/17/1984,Male,71,170,Welterweight,http://www.ufc.com/athlete/sultan-aliev,0,3,0,15,WW,4,Orthodox
Yoshihiro Akiyama,N/A,49,7/29/1975,Male,70,170,Welterweight,http://www.ufc.com/athlete/yoshihiro-akiyama,0,6,2,14,WW,4,Orthodox
John Alessio,The Natural,45,7/5/1979,Male,70,155,Lightweight,http://www.ufc.com/athlete/john-alessio,0,17,2,35,WW,5,Orthodox
John Allan,N/A,31,2/22/1993,Male,73,205,Light Heavyweight,http://www.ufc.com/athlete/john-allan,0,7,1,13,LHW,2,Orthodox
Thiago Alves,Pitbull,41,10/3/1983,Male,69,170,Welterweight,http://www.ufc.com/athlete/thiago-alves,0,15,0,23,WW,4,Orthodox
Hector Aldana,N/A,36,8/17/1988,Male,71,170,Welterweight,http://www.ufc.com/athlete/hector-aldana,0,3,0,4,WW,4,Orthodox
Arnold Allen,Almighty,31,1/22/1994,Male,68,145,Featherweight,http://www.ufc.com/athlete/arnold-allen,0,3,0,20,FTW,6,Southpaw
Reese Andy,Riptide,51,3/31/1973,Male,72,205,Light Heavyweight,http://www.ufc.com/athlete/reese-andy,0,3,0,7,LHW,2,Orthodox
Marcio Alexandre Junior,Lyoto,35,5/5/1989,Male,72,185,Welterweight,http://www.ufc.com/athlete/marcio-alexandre,0,4,0,17,MW,4,Southpaw
Jose Aldo,N/A,38,9/9/1986,Male,67,135,Bantamweight,http://www.ufc.com/athlete/jose-aldo,0,9,0,32,BW,7,Orthodox
Ali AlQaisi,The Royal Fighter,34,9/23/1990,Male,66,135,Bantamweight,http://www.ufc.com/athlete/ali-al-qaisi,0,5,0,8,BW,7,Orthodox
Warlley Alves,N/A,34,1/4/1991,Male,71,185,Middleweight,http://www.ufc.com/athlete/warlley-alves,0,8,0,15,WW,3,Orthodox
Rafael Alves,The Turn,34,11/14/1990,Male,68,155,Featherweight,http://www.ufc.com/athlete/rafael-alves,0,12,0,20,FTW,6,Orthodox
Sean Alvarez,N/A,53,7/14/1971,Male,72,235,Heavyweight,http://www.ufc.com/athlete/sean-alvarez,0,3,0,4,HW,1,Orthodox
Hashem Arkhagha,N/A,35,9/11/1989,Male,74,185,Middleweight,http://www.ufc.com/athlete/hashem-arkhagha,0,1,0,6,MW,3,Orthodox
Ricardo Almeida,Big Dog,48,11/29/1976,Male,72,170,Welterweight,http://www.ufc.com/athlete/ricardo-almeida,0,5,0,13,LHW,4,Orthodox
Lowell Anderson,N/A,N/A,N/A,Male,66,160,Middleweight,http://www.ufc.com/athlete/lowell-anderson,0,1,0,0,MW,3,Orthodox
Amilcar Alves,N/A,36,8/8/1988,Male,72,170,Welterweight,http://www.ufc.com/athlete/amilcar-alves,0,12,0,15,LHW,4,Southpaw
Alex Andrade,El Toro,50,5/14/1974,Male,71,200,Light Heavyweight,http://www.ufc.com/athlete/alex-andrade,0,5,0,10,LHW,2,Orthodox
Romie Aram,N/A,47,12/2/1977,Male,70,170,Welterweight,http://www.ufc.com/athlete/romie-aram,0,1,0,7,WW,4,Orthodox
Khusein Askhabov,Nohcho,29,2/13/1995,Male,68,145,Featherweight,http://www.ufc.com/athlete/khusein-askhabov,0,1,0,23,FTW,6,Orthodox
Aoriqileng,The Mongolian Murderer,31,6/25/1993,Male,67,135,Bantamweight,http://www.ufc.com/athlete/--aoriqileng,0,12,1,25,FLW,7,Orthodox
Tom Aspinall,N/A,31,4/11/1993,Male,77,256,Heavyweight,http://www.ufc.com/athlete/tom-aspinall,0,3,0,15,HW,1,Orthodox
Alen Amedovski,N/A,36,4/6/1988,Male,70,185,Middleweight,http://www.ufc.com/athlete/alen-amedovski,0,4,0,8,MW,3,Orthodox
Julius Anglickas,N/A,33,7/23/1991,Male,75,205,Light Heavyweight,http://www.ufc.com/athlete/julius-anglickas,0,1,0,5,LHW,2,Orthodox
Jailton Almeida,Malhadinho,33,6/26/1991,Male,75,205,Heavyweight,http://www.ufc.com/athlete/jailton-almeida,0,3,0,22,HW,1,Orthodox
Collin Anglin,N/A,31,2/20/1993,Male,69,145,Featherweight,http://www.ufc.com/athlete/collin-anglin,0,3,0,8,FTW,6,Orthodox
Chad Anheliger,The Monster,38,12/1/1986,Male,66,135,Bantamweight,http://www.ufc.com/athlete/chad-anheliger,0,8,0,13,BW,7,Orthodox
Ottman Azaitar,Bulldozer,34,2/20/1990,Male,68,155,Lightweight,http://www.ufc.com/athlete/ottman-azaitar,0,3,0,13,LW,5,Switch
Ryan Bader,Darth,41,6/7/1983,Male,74,205,Light Heavyweight,http://www.ufc.com/athlete/ryan-bader,0,5,0,23,LHW,2,Orthodox
Gadzhimurad Antigulov,N/A,37,2/9/1987,Male,71,205,Light Heavyweight,http://www.ufc.com/athlete/gadzhimurad-antigulov,0,8,0,20,LHW,2,Orthodox
Eryk Anders,Ya Boi,37,4/21/1987,Male,73,185,Middleweight,http://www.ufc.com/athlete/eryk-anders,0,8,1,17,LHW,3,Southpaw
Tae Hyun Bang,Supernatural,41,4/15/1983,Male,69,155,Lightweight,http://www.ufc.com/athlete/tae-hyun-bang,0,10,0,18,LW,5,Switch
Akbarh Arreola,El Caballero,42,1/14/1983,Male,70,155,Lightweight,http://www.ufc.com/athlete/akbarh-arreola,1,11,0,23,LW,5,Southpaw
Askar Askarov,Bullet,32,10/9/1992,Male,66,125,Flyweight,http://www.ufc.com/athlete/askar-askarov,1,1,0,14,FLW,8,Orthodox
Cesar Arzamendia,Goku,34,1/31/1991,Male,71,155,Featherweight,http://www.ufc.com/athlete/cesar-arzamendia,0,3,0,8,LW,6,Orthodox
Azunna Anyanwu,Zulu,43,8/5/1981,Male,73,251,Heavyweight,http://www.ufc.com/athlete/zu-anyanwu,0,5,0,14,HW,1,Orthodox
Jessin Ayari,N/A,32,5/31/1992,Male,72,155,Lightweight,http://www.ufc.com/athlete/jessin-ayari,0,6,0,16,LW,5,Orthodox
Austin Arnett,N/A,33,10/22/1991,Male,72,145,Featherweight,http://www.ufc.com/athlete/austin-arnett,0,6,0,16,LW,6,Orthodox
Peter Barrett,Slippery,38,8/10/1986,Male,70,145,Featherweight,http://www.ufc.com/athlete/peter-barrett,0,5,0,11,FTW,6,Southpaw
Raphael Assuncao,N/A,42,7/19/1982,Male,65,135,Bantamweight,http://www.ufc.com/athlete/raphael-assuncao,0,10,0,28,BW,7,Orthodox
